Deal Size Gen AI,Deal Size Non Gen AI
0.1,0.56
5.3,4.96
5.05,4.43
5.05,7.43
2.53,4.31
4.54,1.7
1.98,1.7
3.51,4.05
2.05,4.3
10.26,4.23
3.3,3.85
3.19,4.62
11.5,5.86
6.93,0.16
2.21,5.99
4.79,3.49
1.38,5.9
1.82,0.76
9.28,3.67
3.77,6.19
7.77,3.31
4.71,4.56
6.55,28.55
105.0,7.36
1.2,2.15
5.29,2.08
9.9,0.95
5.47,5.09
4.81,0.12
7.46,2.6
6.16,0.44
8.21,6.51
4.73,0.93
2.9,0.86
8.72,3.83
10.34,1.43
5.0,9.96
18.64,0.65
2.3,4.41
1.4,1.51
2.95,2.07
1.34,1.4
,2.64
,1.46
,4.49
,4.24
,4.93
,2.41
,0.42
,8.7
,4.15
,2.91
,0.04
,1.0
,1.82
,6.01
,8.86
,1.02
,2.97
,4.65
,1.45
,1.69
,4.11
,3.76
,0.29
,0.83
,1.4
,6.19
,3.12
,0.97
,3.77
,2.52
,2.36
,3.4
,0.85
,4.41
,7.55
,9.26
,3.31
,3.12
,1.04
,1.5
,4.69
,2.55
,3.16
,5.11
,2.54
,4.03
,2.98
,0.5
,7.84
,2.0
,10.3
,9.3
,2.65
,4.45
,2.5
,6.45
,0.6
,2.71
,2.58
,1.86
,19.8
,9.66
,0.24
,17.0
,1.94
,0.88
,2.26
,2.85
,7.32
,2.78
,4.08
,7.06
,8.17
,6.48
,5.96
,4.42
,3.9
,3.81
,1.84
,5.42
,2.53
,0.45
,8.9
,4.2
,1.16
,6.9
,3.66
,9.32
,7.4
,5.04
,3.45
,28.38
,12.3
,0.9
,5.66
,10.23
,1.87
,4.0
,2.35
,2.16
,2.53
,9.31
,3.16
,2.48
,7.08
,7.07
,7.94
,1.25
,4.2
,0.78
,2.78
,3.4
,3.21
,0.44
,5.81
,10.62
,6.88
,2.15
,3.16
,0.16
,2.57
,5.3
,4.91
,2.31
,4.13
,3.72
,4.3
,3.71
,3.22
,3.41
,6.24
,1.53
,4.27
,5.11
,4.18
,1.4
,1.82
,12.91
,5.56
,4.35
,4.0
,13.42
,3.35
,2.05
,2.32
,5.06
,13.78
,6.51
,4.96
,12.92
,2.29
,2.7
,2.61
,4.52
,2.57
,1.05
,6.54
,2.54
,5.14
,9.11
,2.92
,3.21
,3.48
,0.76
,43.07
,3.0
,10.16
,5.11
,1.7
,3.53
,1.19
,9.71
,6.44
,1.91
,3.63
,6.9
,1.48
,1.37
,4.79
,3.43
,1.23
,1.39
,5.87
,9.74
,2.71
,1.94
,1.49
,2.55
,3.01
,9.25
,7.24
,6.51
,2.7
,10.46
,6.13
,3.99
,5.93
,6.0
,2.49
,2.65
,0.58
,1.38
,4.3
,3.49
,4.73
,14.85
,2.8
,9.1
,2.13
,9.2
,3.98
,4.53
,9.95
,4.14
,18.11
,8.5
,1.28
,19.72
,5.93
,4.0
,2.13
,6.06
,2.36
,2.2
,5.7
,6.09
,2.46
,7.2
,1.35
,4.15
,4.57
