Deal Size Gen AI,Deal Size Non Gen AI
183.92,26.48
23.0,4.95
18.88,19.48
12.58,10.11
22.91,25.59
10.96,21.45
11.51,20.21
5.1,14.92
10.23,18.41
25.87,2.8
21.07,9.41
23.02,6.82
11.92,24.54
18.63,4.19
25.56,16.55
15.55,11.87
14.18,23.27
18.76,10.0
16.37,13.65
9.79,17.45
25.35,17.04
36.01,47.27
11.59,8.3
7.08,42.28
37.78,14.12
7.87,11.01
13.33,6.29
102.03,17.38
24.65,19.13
9.24,54.84
96.97,14.0
6.68,18.46
23.12,9.88
14.13,1.42
13.34,18.17
,12.24
,8.08
,32.42
,19.77
,12.26
,20.33
,0.88
,9.81
,7.1
,16.98
,14.16
,6.9
,2.52
,18.0
,6.76
,19.05
,18.49
,22.52
,6.61
,18.4
,15.23
,13.93
,24.46
,2.56
,9.37
,17.36
,5.12
,1.2
,8.88
,40.0
,23.61
,6.57
,8.4
,11.38
,3.63
,46.0
,70.5
,24.63
,12.73
,8.04
,5.0
,17.25
,26.93
,7.8
,20.29
,26.47
,39.58
,9.92
,18.61
,13.01
,20.54
,22.21
,24.21
,15.46
,12.75
,9.27
,23.6
,4.11
,35.21
,18.49
,23.05
,4.26
,8.59
,8.9
,10.97
,13.22
,25.88
,23.15
,13.49
,3.67
,4.39
,21.18
,17.37
,6.79
,13.45
,13.24
,7.39
,13.92
,20.06
,11.58
,8.0
,10.69
,37.19
,32.1
,11.25
,10.78
,34.33
,28.01
,13.14
,10.28
,10.23
,4.65
,10.15
,17.33
,17.25
,14.53
,7.91
,5.81
,4.53
,27.86
,11.04
,22.0
,5.04
,17.48
,4.03
,8.64
,4.96
,11.84
,16.9
,8.5
,7.18
,15.78
,20.01
,23.58
,11.99
,20.1
,18.88
,39.54
,18.49
,17.62
,8.41
,15.19
,13.91
,7.34
,9.04
,13.9
,10.19
,16.46
,18.38
,4.57
,13.02
,22.13
,13.55
,10.47
,4.83
,9.51
,12.35
,4.56
,17.36
,9.33
,12.67
,16.36
,12.75
,27.29
,77.57
,12.51
,13.82
,13.57
,20.76
,23.91
,10.05
,8.38
,8.81
,11.82
,31.28
,19.45
,10.1
,13.45
,122.72
