Deal Size Gen AI,Deal Size Non Gen AI
458.97,9.19
34.09,132.82
43.12,14.22
30.52,8.23
2.84,39.55
44.52,23.62
88.08,54.0
90.72,35.87
600.0,97.96
23.28,164.27
27.14,59.19
31.87,20.63
36.62,82.0
30.99,57.73
18.62,33.32
29.51,18.58
24.87,242.52
94.21,42.48
116.13,18.37
74.83,27.71
29.7,17.81
39.81,37.24
46.48,29.2
50.96,33.89
27.31,19.03
,13.79
,37.29
,9.45
,27.6
,39.11
,44.28
,29.84
,35.27
,21.12
,33.16
,30.0
,25.96
,177.41
,39.75
,11.11
,39.37
,63.61
,27.04
,24.75
,8.22
,91.25
,20.83
,45.06
,31.45
,32.46
,19.89
,24.94
,15.13
,134.9
,12.16
,105.24
,12.06
,24.77
,132.46
,12.32
,30.44
,37.11
,32.8
,74.41
,33.29
,27.03
,44.16
,21.25
,70.6
,19.38
,49.49
,88.28
,32.23
,22.56
,24.68
,42.91
,19.43
,12.85
,33.04
,20.75
,46.39
,37.09
,29.19
,29.51
,33.1
,23.15
,15.0
,24.14
,92.94
,29.37
,25.43
,33.15
,30.89
,33.35
,29.68
,167.99
,51.96
,26.94
,26.56
,31.25
,41.36
,27.97
,75.66
,91.02
,27.09
,22.32
,21.95
,25.06
,5561.14
