,Cohort Year,Total Seed,Reached A,Reached B,Reached C,Reached D,Conv Seed->A (%),Conv A->B (%),Conv B->C (%),Conv C->D (%),Conv Seed->B (%),Conv Seed->C (%),Conv Seed->D (%)
0,2010,2,2,2,2,1,100.0,100.0,100.0,50.0,100.0,100.0,50.0
1,2011,3,2,2,1,1,66.67,100.0,50.0,100.0,100.0,50.0,100.0
2,2012,7,5,4,3,1,71.43,80.0,75.0,33.33,80.0,75.0,33.33
3,2013,3,1,1,3,3,33.33,100.0,300.0,100.0,100.0,300.0,100.0
4,2014,4,1,0,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015,15,12,9,6,5,80.0,75.0,66.67,83.33,75.0,66.67,83.33
6,2016,9,6,3,2,1,66.67,50.0,66.67,50.0,50.0,66.67,50.0
7,2017,14,10,6,3,0,71.43,60.0,50.0,0.0,60.0,50.0,0.0
8,2018,18,12,8,4,2,66.67,66.67,50.0,50.0,66.67,50.0,50.0
9,2019,35,26,17,4,0,74.29,65.38,23.53,0.0,65.38,23.53,0.0
10,2020,47,34,15,4,1,72.34,44.12,26.67,25.0,44.12,26.67,25.0
11,2021,70,32,4,1,0,45.71,12.5,25.0,0.0,12.5,25.0,0.0
12,2022,74,24,3,0,0,32.43,12.5,0.0,0.0,12.5,0.0,0.0
13,2023,76,12,0,0,0,15.79,0.0,0.0,0.0,0.0,0.0,0.0
14,2024,46,1,0,0,0,2.17,0.0,0.0,0.0,0.0,0.0,0.0
