Deal Year,Bonne catégorie,Count
2012,AI,1
2012,Business application,9
2012,Core infrastructure / Back-end / Devops,6
2012,Data,11
2012,Devtools,1
2012,Security,2
2013,AI,3
2013,Blockchain,1
2013,Business application,4
2013,Core infrastructure / Back-end / Devops,17
2013,Data,15
2013,Security,5
2014,AI,2
2014,Blockchain,3
2014,Business application,14
2014,Core infrastructure / Back-end / Devops,21
2014,Data,14
2014,Security,5
2015,AI,6
2015,Blockchain,3
2015,Business application,6
2015,Core infrastructure / Back-end / Devops,27
2015,Data,25
2015,Devtools,8
2015,Security,6
2016,AI,4
2016,Blockchain,6
2016,Business application,9
2016,Core infrastructure / Back-end / Devops,19
2016,Data,25
2016,Devtools,6
2016,Security,9
2017,AI,5
2017,Blockchain,9
2017,Business application,5
2017,Core infrastructure / Back-end / Devops,26
2017,Data,26
2017,Devtools,13
2017,Security,15
2018,AI,13
2018,Blockchain,8
2018,Business application,12
2018,Core infrastructure / Back-end / Devops,28
2018,Data,32
2018,Devtools,12
2018,Security,18
2019,AI,19
2019,Blockchain,15
2019,Business application,14
2019,Core infrastructure / Back-end / Devops,38
2019,Data,43
2019,Devtools,11
2019,Security,25
2020,AI,25
2020,Blockchain,11
2020,Business application,15
2020,Core infrastructure / Back-end / Devops,50
2020,Data,65
2020,Devtools,29
2020,Security,31
2021,AI,39
2021,Blockchain,24
2021,Business application,31
2021,Core infrastructure / Back-end / Devops,69
2021,Data,87
2021,Devtools,39
2021,Security,48
2022,AI,42
2022,Blockchain,37
2022,Business application,23
2022,Core infrastructure / Back-end / Devops,71
2022,Data,73
2022,Devtools,40
2022,Security,37
2023,AI,79
2023,Blockchain,25
2023,Business application,20
2023,Core infrastructure / Back-end / Devops,47
2023,Data,35
2023,Devtools,28
2023,Security,32
2024,AI,66
2024,Blockchain,15
2024,Business application,10
2024,Core infrastructure / Back-end / Devops,32
2024,Data,32
2024,Devtools,20
2024,Security,31
