Deal Type 2,Next Deal Type,count,mean,std,min,25%,50%,75%,max
Seed Round,Series A,181.0,19.65193370165746,16.84456256204628,0.0,9.0,15.0,24.0,108.0
Seed Round,Series B,9.0,37.55555555555556,28.81887884317809,12.0,20.0,38.0,42.0,107.0
Seed Round,Series C,1.0,95.0,,95.0,95.0,95.0,95.0,95.0
Series A,Series B,75.0,19.746666666666666,13.019832411979658,6.0,10.0,17.0,25.0,78.0
Series A,Series C,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
Series B,Series C,34.0,21.41176470588235,14.585417472669404,4.0,13.0,17.0,27.75,81.0
Series B,Series D,2.0,33.5,19.091883092036785,20.0,26.75,33.5,40.25,47.0
Series C,Series D,15.0,15.4,8.559038664309378,4.0,11.0,13.0,18.5,36.0
Series D,Series E,9.0,20.444444444444443,9.619136020338718,12.0,16.0,18.0,21.0,44.0
Series E,Series F,4.0,19.5,8.582928793055823,13.0,14.5,16.5,21.5,32.0
Series F,Series G,2.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
