Control Group Deal Size,COSS Deal Size
21.67,
42.83,14.61
15.44,
,463.91
91.2,33.41
,4527.73
,205.07
,141.59
5.37,
,2135.61
18.25,
,110.06
,5954.71
,369.73
3.6,39.84
,1053.93
,599.69
39.89,327.65
45.18,539.13
,1190.39
,5238.95
5.95,679.54
,597.18
,890.69
2.25,225.71
,23.9
6.49,
31.23,11.92
37.74,
449.6,2612.29
27.22,43.54
1.09,321.13
904.62,3905.28
,30109.21
16.38,
19.8,
,462.74
16.2,
135.93,119.49
,591.42
,923.45
15.26,2040.29
66.45,
,513.37
,500.34
24.32,90.0
,352.45
,10.33
66.96,
3.01,
224.54,
39.3,
2895.62,
29.07,
15.32,
3.78,
32.05,
92.86,
1.34,
235.99,
1.15,
66.95,
4.22,
12.95,
21.03,
827.0,
24.07,
9.72,
0.66,
37.13,
46.63,
1.6,
200.0,
396.85,
92.97,
2.88,
215.3,
21.39,
132.04,
12.51,
101.23,
82.66,
2.85,
98.17,
845.53,
780.62,
111.58,
77.08,
220.09,
40.99,
58.61,
14.27,
241.82,
66.73,
40.84,
21.14,
16.85,
25.33,
112.18,
609.97,
6.56,
11.1,
219.74,
1.2,
141.71,
520.02,
46.96,
130.12,
3078.88,
44.78,
5.77,
15.92,
40.33,
32.17,
18.39,
75.69,
24.05,
15.08,
18.84,
11.5,
4.49,
11.57,
293.29,
2058.78,
11.44,
417.99,
94.56,
151.34,
142.35,
28.8,
64.5,
26.3,
59.57,
14.4,
19.51,
6.38,
80.48,
44.15,
2520.14,
4.15,
2.28,
152.06,
0.27,
314.75,
11.57,
33.82,
3.3,
191.16,
36.04,
5.92,
2.99,
3.5,
495.41,
5.96,
48.75,
104.02,
8.74,
129.55,
21.2,
843.05,
5426.9,
8.97,
5.38,
2.21,
341.76,
2.32,
129.68,
193.04,
35.25,
1.66,
3.42,
171.47,
24.51,
18.95,
278.36,
790.2,
29.91,
115.98,
153.46,
351.77,
387.09,
63.68,
20.32,
6.0,
38.97,
25.8,
1.9,
73.01,
255.77,
0.13,
15.05,
35.8,
12.8,
1.73,
8219.31,
11.35,
248.28,
119.06,
37.15,
16.31,
66.11,
318.26,
8.15,
87.09,
2.17,
20.0,
223.17,
21.23,
369.4,
117.84,
118.54,
11.36,
6.0,
171.12,
337.32,
14.89,
25.71,
23.1,
10.1,
10.61,
11.42,
62.29,
115.34,
12.96,
3.3,
80.29,
5.77,
9.48,
3.0,
12.0,
136.81,
0.31,
15.51,
0.03,
2.39,
129.75,
18.49,
17.43,
174.03,
25.35,
18.44,
48.78,
11.97,
44.26,
63.68,
17.24,
8.49,
174.96,
86.35,
6.94,
54.69,
5.66,
13.92,
46.23,
3.35,
10.56,
17.64,
47.89,
58.17,
9.9,
26.76,
10.77,
1.95,
1912.71,
108.62,
26.21,
3262.08,
114.97,
3.63,
4.44,
432.47,
4.65,
20.21,
49.71,
3.72,
58.63,
47.33,
61.75,
320.55,
22.92,
57.68,
51.67,
13.63,
3.91,
49.13,
31.09,
186.97,
69.2,
1.72,
4948.13,
7.41,
213.6,
1264.87,
1.65,
15.99,
9.14,
4.36,
39.38,
187.97,
1165.41,
199.03,
49.29,
12.23,
110.92,
299.31,
175.52,
369.1,
424.94,
225.05,
14.57,
8.43,
33.59,
85.51,
22.49,
119.2,
15.34,
8.19,
68.72,
307.78,
32.41,
66.05,
41.33,
5.42,
26.0,
24.3,
56.48,
2.96,
26.98,
90.6,
67.67,
89.4,
60.22,
21.37,
2.68,
48.58,
90.05,
38.79,
8.8,
8.2,
16.85,
217.17,
73.05,
134.41,
81.97,
317.19,
19.03,
1.81,
90.15,
13.78,
167.31,
13.45,
2.79,
31.09,
210.5,
116.54,
17.28,
4.47,
294.16,
54.13,
11.81,
77.03,
3.16,
4.65,
473.03,
78.51,
50.1,
